NOC,Bronze_1896,Bronze_1900,Bronze_1904,Bronze_1908,Bronze_1912,Bronze_1920,Bronze_1924,Bronze_1928,Bronze_1932,Bronze_1936,Bronze_1948,Bronze_1952,Bronze_1956,Bronze_1960,Bronze_1964,Bronze_1968,Bronze_1972,Bronze_1976,Bronze_1980,Bronze_1984,Bronze_1988,Bronze_1992,Bronze_1996,Bronze_2000,Bronze_2004,Bronze_2008,Bronze_2012,Bronze_2016,Bronze_2020,Bronze_2024,Gold_1896,Gold_1900,Gold_1904,Gold_1908,Gold_1912,Gold_1920,Gold_1924,Gold_1928,Gold_1932,Gold_1936,Gold_1948,Gold_1952,Gold_1956,Gold_1960,Gold_1964,Gold_1968,Gold_1972,Gold_1976,Gold_1980,Gold_1984,Gold_1988,Gold_1992,Gold_1996,Gold_2000,Gold_2004,Gold_2008,Gold_2012,Gold_2016,Gold_2020,Gold_2024,Silver_1896,Silver_1900,Silver_1904,Silver_1908,Silver_1912,Silver_1920,Silver_1924,Silver_1928,Silver_1932,Silver_1936,Silver_1948,Silver_1952,Silver_1956,Silver_1960,Silver_1964,Silver_1968,Silver_1972,Silver_1976,Silver_1980,Silver_1984,Silver_1988,Silver_1992,Silver_1996,Silver_2000,Silver_2004,Silver_2008,Silver_2012,Silver_2016,Silver_2020,Silver_2024
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
Argentina,0,0,0,0,0,0,2,1,0,3,1,2,1,1,0,2,0,0,0,0,1,1,1,2,4,4,2,0,2,1,0,0,0,0,0,0,1,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0,0,0,0,0,3,3,1,2,3,2,1,1,1,0,1,0,0,0,1,0,2,2,0,0,1,1,1,1
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,3
Australasia,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,3,1,0,0,1,2,1,1,1,5,3,14,6,10,5,2,4,5,12,5,11,23,17,17,17,12,10,22,16,2,2,0,0,0,0,3,1,3,0,2,6,13,8,6,5,8,0,2,4,3,7,9,16,17,14,8,8,17,18,0,0,3,0,0,2,1,2,1,0,6,2,8,8,2,7,7,1,2,8,6,9,9,25,16,15,15,11,7,19
Austria,2,3,1,1,2,0,1,1,3,5,3,1,2,0,0,2,2,1,1,1,0,0,2,0,1,2,0,1,5,3,2,0,1,0,0,0,0,2,1,5,1,0,0,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,1,2,1,3,1,0,2,0,3,0,1,7,0,1,0,1,0,2,1,0,2,1,0,2,1,1,4,1,0,0,1,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,3,2
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
