,Rank,NOC,Gold,Silver,Bronze,Total,Year
0,1,United States,0.13253012048192772,0.08974358974358974,0.025974025974025976,0.08260869565217391,1896
1,2,Greece,0.12048192771084337,0.23076923076923078,0.24675324675324675,0.2,1896
2,3,Germany,0.07228915662650602,0.0641025641025641,0.025974025974025976,0.05217391304347826,1896
3,4,France,0.060240963855421686,0.05128205128205128,0.025974025974025976,0.043478260869565216,1896
4,5,Great Britain,0.024096385542168676,0.038461538461538464,0.025974025974025976,0.02608695652173913,1896
5,6,Hungary,0.024096385542168676,0.01282051282051282,0.03896103896103896,0.021739130434782608,1896
6,7,Austria,0.024096385542168676,0.01282051282051282,0.025974025974025976,0.017391304347826087,1896
7,8,Australia,0.024096385542168676,0.0,0.0,0.004347826086956522,1896
8,9,Denmark,0.012048192771084338,0.02564102564102564,0.03896103896103896,0.021739130434782608,1896
9,10,Switzerland,0.012048192771084338,0.02564102564102564,0.0,0.008695652173913044,1896
10,11,Mixed team,0.012048192771084338,0.0,0.012987012987012988,0.004347826086956522,1896
11,1,France,0.3253012048192771,0.5,0.4805194805194805,0.4434782608695652,1900
12,2,United States,0.2289156626506024,0.1794871794871795,0.19480519480519481,0.20434782608695654,1900
13,3,Great Britain,0.18072289156626506,0.08974358974358974,0.11688311688311688,0.13043478260869565,1900
14,4,Mixed team,0.0963855421686747,0.0641025641025641,0.07792207792207792,0.0782608695652174,1900
15,5,Belgium,0.07228915662650602,0.08974358974358974,0.05194805194805195,0.06956521739130435,1900
16,6,Switzerland,0.07228915662650602,0.02564102564102564,0.012987012987012988,0.034782608695652174,1900
17,7,Germany,0.04819277108433735,0.038461538461538464,0.025974025974025976,0.034782608695652174,1900
18,8,Italy,0.03614457831325301,0.02564102564102564,0.0,0.017391304347826087,1900
19,9,Australia,0.024096385542168676,0.0,0.03896103896103896,0.017391304347826087,1900
20,10,Denmark,0.012048192771084338,0.038461538461538464,0.025974025974025976,0.021739130434782608,1900
21,11,Hungary,0.012048192771084338,0.02564102564102564,0.025974025974025976,0.017391304347826087,1900
22,12,Cuba,0.012048192771084338,0.01282051282051282,0.0,0.004347826086956522,1900
23,13,Canada,0.012048192771084338,0.0,0.012987012987012988,0.004347826086956522,1900
24,14,Spain,0.012048192771084338,0.0,0.0,0.0,1900
25,14,Luxembourg,0.012048192771084338,0.0,0.0,0.0,1900
26,16,Austria,0.0,0.038461538461538464,0.03896103896103896,0.021739130434782608,1900
27,17,Norway,0.0,0.02564102564102564,0.03896103896103896,0.017391304347826087,1900
28,17,Netherlands,0.0,0.02564102564102564,0.03896103896103896,0.017391304347826087,1900
29,19,India,0.0,0.02564102564102564,0.0,0.004347826086956522,1900
30,20,Bohemia,0.0,0.01282051282051282,0.012987012987012988,0.004347826086956522,1900
31,21,Sweden,0.0,0.0,0.012987012987012988,0.0,1900
32,1,United States,0.9156626506024096,1.0,1.0,1.0,1904
33,2,Germany,0.04819277108433735,0.0641025641025641,0.07792207792207792,0.06086956521739131,1904
34,3,Canada,0.04819277108433735,0.01282051282051282,0.012987012987012988,0.021739130434782608,1904
35,4,Cuba,0.03614457831325301,0.0,0.0,0.008695652173913044,1904
36,5,Hungary,0.024096385542168676,0.01282051282051282,0.012987012987012988,0.013043478260869565,1904
37,5,Mixed team,0.024096385542168676,0.01282051282051282,0.012987012987012988,0.013043478260869565,1904
38,7,Norway,0.024096385542168676,0.0,0.0,0.004347826086956522,1904
39,8,Austria,0.012048192771084338,0.01282051282051282,0.012987012987012988,0.008695652173913044,1904
40,9,Great Britain,0.012048192771084338,0.01282051282051282,0.0,0.004347826086956522,1904
41,10,Switzerland,0.012048192771084338,0.0,0.025974025974025976,0.008695652173913044,1904
42,11,Greece,0.012048192771084338,0.0,0.012987012987012988,0.004347826086956522,1904
43,12,Australia,0.0,0.038461538461538464,0.012987012987012988,0.013043478260869565,1904
