Sport,Discipline,Code,Sports Governing Body,Year
Aquatics,Marathon Swimming,OWS,World Aquatics,2008
Basketball,3x3,BK3,FIBA,2020
Breaking,Breaking,BKG,WDSF,2024
Cycling,BMX Freestyle,BMF,UCI,2020
Cycling,BMX Racing,BMX,UCI,2008
Gymnastics,Trampoline,GTR,FIG,2000
Karate,Karate,KTE,WKF,2020
Rugby,Sevens,RU7,World Rugby,2016
Skateboarding,Skateboarding,SKB,World Skate[s4],2020
Sport Climbing,Sport Climbing,CLB,IFSC,2020
Surfing,Surfing,SRF,ISA,2020
Taekwondo,Taekwondo,TKW,World Taekwondo,2000
Triathlon,Triathlon,TRI,World Triathlon,2000
