,Rank,NOC,Gold,Silver,Bronze,Total,Year
0,1,USA,11,7,2,20,1896
1,2,GRC,10,18,19,47,1896
2,3,DEU,6,5,2,13,1896
3,4,FRA,5,4,2,11,1896
4,5,GBR,2,3,2,7,1896
5,6,HUN,2,1,3,6,1896
6,7,AUT,2,1,2,5,1896
7,8,AUS,2,0,0,2,1896
8,9,DNK,1,2,3,6,1896
9,10,CHE,1,2,0,3,1896
10,1,FRA,27,39,37,103,1900
11,2,USA,19,14,15,48,1900
12,3,GBR,15,7,9,31,1900
13,5,BEL,6,7,4,17,1900
14,6,CHE,6,2,1,9,1900
15,7,DEU,4,3,2,9,1900
16,8,ITA,3,2,0,5,1900
17,9,AUS,2,0,3,5,1900
18,10,DNK,1,3,2,6,1900
19,11,HUN,1,2,2,5,1900
20,13,CAN,1,0,1,2,1900
21,16,AUT,0,3,3,6,1900
22,17,NOR,0,2,3,5,1900
23,17,NLD,0,2,3,5,1900
24,19,IND,0,2,0,2,1900
25,21,SWE,0,0,1,1,1900
26,1,USA,76,78,77,231,1904
27,2,DEU,4,5,6,15,1904
28,3,CAN,4,1,1,6,1904
29,5,HUN,2,1,1,4,1904
30,7,NOR,2,0,0,2,1904
31,8,AUT,1,1,1,3,1904
32,9,GBR,1,1,0,2,1904
33,10,CHE,1,0,2,3,1904
34,11,GRC,1,0,1,2,1904
35,12,AUS,0,3,1,4,1904
36,13,FRA,0,1,0,1,1904
37,1,GBR,56,51,39,146,1908
38,2,USA,23,12,12,47,1908
39,3,SWE,8,6,11,25,1908
40,4,FRA,5,5,9,19,1908
41,5,DEU,3,5,5,13,1908
42,6,HUN,3,4,2,9,1908
43,7,CAN,3,3,10,16,1908
44,8,NOR,2,3,3,8,1908
45,9,ITA,2,2,0,4,1908
46,10,BEL,1,5,2,8,1908
47,13,FIN,1,1,3,5,1908
48,14,ZAF,1,1,0,2,1908
49,15,GRC,0,3,1,4,1908
50,16,DNK,0,2,3,5,1908
51,17,NLD,0,0,2,2,1908
52,19,AUT,0,0,1,1,1908
53,1,USA,26,19,19,64,1912
54,2,SWE,23,25,17,65,1912
55,3,GBR,10,15,16,41,1912
56,4,FIN,9,8,9,26,1912
57,5,FRA,7,4,3,14,1912
58,6,DEU,5,13,7,25,1912
59,7,ZAF,4,2,0,6,1912
60,8,NOR,3,2,5,10,1912
61,9,CAN,3,2,3,8,1912
62,9,HUN,3,2,3,8,1912
63,11,ITA,3,1,2,6,1912
64,13,BEL,2,1,3,6,1912
65,14,DNK,1,6,5,12,1912
66,15,GRC,1,0,1,2,1912
67,17,AUT,0,2,2,4,1912
68,18,NLD,0,0,3,3,1912
69,1,USA,41,27,27,95,1920
