Rank,NOC,Gold,Silver,Bronze,Total,Year,player0_num,player1_num,player2_num
1,USA,11,7,2,20,1896,3,10,14
2,GRC,10,18,19,47,1896,0,0,0
3,DEU,6,5,2,13,1896,0,0,0
4,FRA,5,4,2,11,1896,7,12,7
5,GBR,2,3,2,7,1896,3,11,11
6,HUN,2,1,3,6,1896,8,8,2
7,AUT,2,1,2,5,1896,0,3,5
8,AUS,2,0,0,2,1896,0,0,5
9,DNK,1,2,3,6,1896,0,0,0
10,CHE,1,2,0,3,1896,0,0,0
1,FRA,27,39,37,103,1900,654,341,76
2,USA,19,14,15,48,1900,43,58,34
3,GBR,15,7,9,31,1900,15,84,47
5,BEL,6,7,4,17,1900,43,45,12
6,CHE,6,2,1,9,1900,0,0,0
7,DEU,4,3,2,9,1900,0,0,0
8,ITA,3,2,0,5,1900,27,6,3
9,AUS,2,0,3,5,1900,0,0,6
10,DNK,1,3,2,6,1900,0,0,0
11,HUN,1,2,2,5,1900,29,2,3
13,CAN,1,0,1,2,1900,4,0,3
16,AUT,0,3,3,6,1900,18,5,3
17,NOR,0,2,3,5,1900,0,17,12
17,NLD,0,2,3,5,1900,0,0,0
19,IND,0,2,0,2,1900,0,5,0
21,SWE,0,0,1,1,1900,9,12,6
1,USA,76,78,77,231,1904,493,412,204
2,DEU,4,5,6,15,1904,0,0,0
3,CAN,4,1,1,6,1904,10,47,4
5,HUN,2,1,1,4,1904,3,2,4
7,NOR,2,0,0,2,1904,4,2,0
8,AUT,1,1,1,3,1904,0,0,7
9,GBR,1,1,0,2,1904,4,2,0
10,CHE,1,0,2,3,1904,0,0,0
11,GRC,1,0,1,2,1904,0,0,0
12,AUS,0,3,1,4,1904,2,0,4
13,FRA,0,1,0,1,1904,0,2,0
1,GBR,56,51,39,146,1908,453,393,126
2,USA,23,12,12,47,1908,87,64,68
3,SWE,8,6,11,25,1908,106,93,77
4,FRA,5,5,9,19,1908,220,58,41
5,DEU,3,5,5,13,1908,0,0,0
6,HUN,3,4,2,9,1908,51,42,14
7,CAN,3,3,10,16,1908,55,84,9
8,NOR,2,3,3,8,1908,39,29,35
9,ITA,2,2,0,4,1908,74,15,8
10,BEL,1,5,2,8,1908,46,38,15
13,FIN,1,1,3,5,1908,52,32,10
14,ZAF,1,1,0,2,1908,0,0,0
15,GRC,0,3,1,4,1908,0,0,0
16,DNK,0,2,3,5,1908,0,0,0
17,NLD,0,0,2,2,1908,0,0,0
19,AUT,0,0,1,1,1908,5,5,3
1,USA,26,19,19,64,1912,133,116,115
2,SWE,23,25,17,65,1912,357,224,133
3,GBR,10,15,16,41,1912,166,228,67
4,FIN,9,8,9,26,1912,119,89,25
5,FRA,7,4,3,14,1912,139,66,27
6,DEU,5,13,7,25,1912,0,0,0
7,ZAF,4,2,0,6,1912,0,0,0
8,NOR,3,2,5,10,1912,158,71,34
9,CAN,3,2,3,8,1912,40,18,2
9,HUN,3,2,3,8,1912,142,45,20
11,ITA,3,1,2,6,1912,63,14,19
13,BEL,2,1,3,6,1912,23,33,16
14,DNK,1,6,5,12,1912,0,0,0
15,GRC,1,0,1,2,1912,0,0,0
17,AUT,0,2,2,4,1912,105,26,1
18,NLD,0,0,3,3,1912,0,0,0
1,USA,41,27,27,95,1920,173,129,171
2,SWE,19,20,25,64,1920,133,177,94
3,FIN,15,10,9,34,1920,24,63,49
4,GBR,14,15,13,42,1920,142,149,54
5,BEL,14,11,11,36,1920,258,178,82
6,NOR,13,9,9,31,1920,93,110,64
7,ITA,13,5,5,23,1920,172,59,60
8,FRA,9,19,13,41,1920,218,148,86
9,NLD,4,2,5,11,1920,0,0,0
10,DNK,3,9,1,13,1920,0,0,0
11,ZAF,3,4,3,10,1920,0,0,0
12,CAN,3,3,3,9,1920,56,24,5
13,CHE,2,2,7,11,1920,0,0,0
16,AUS,0,2,1,3,1920,13,13,3
17,JPN,0,2,0,2,1920,22,4,0
19,GRC,0,1,0,1,1920,0,0,0
22,NZL,0,0,1,1,1920,5,1,0
1,USA,45,27,27,99,1924,184,163,112
2,FIN,14,13,10,37,1924,161,41,51
3,FRA,13,15,10,38,1924,413,163,60
4,GBR,9,13,12,34,1924,294,96,38
5,ITA,8,3,5,16,1924,184,48,101
6,CHE,7,8,10,25,1924,0,0,0
7,NOR,5,2,3,10,1924,67,11,27
8,SWE,4,13,12,29,1924,90,106,60
9,NLD,4,1,5,10,1924,0,0,0
10,BEL,3,7,3,13,1924,158,54,22
11,AUS,3,1,2,6,1924,42,12,6
12,DNK,2,5,2,9,1924,0,0,0
13,HUN,2,3,4,9,1924,103,15,22
16,ARG,1,3,2,6,1924,89,20,0
18,ZAF,1,1,1,3,1924,0,0,0
20,AUT,0,3,1,4,1924,50,6,0
20,CAN,0,3,1,4,1924,51,25,7
22,POL,0,1,1,2,1924,79,21,0
23,JPN,0,0,1,1,1924,26,11,0
23,NZL,0,0,1,1,1924,4,2,0
23,PRT,0,0,1,1,1924,0,0,0
23,ROU,0,0,1,1,1924,29,16,0
1,USA,22,18,16,56,1928,233,119,74
2,DEU,10,7,14,31,1928,0,0,0
3,FIN,8,8,9,25,1928,73,36,23
4,SWE,7,6,12,25,1928,66,49,24
5,ITA,7,5,7,19,1928,141,67,65
